PromptEnergy_MeV,Geoneutrinos,Accidentals,Li9_He8,C13_alpha_n_O16,FastNeutrons,WorldReactor_antinu,AtmosphericNC
4.148883374689826,0.0,0.0,0.8642384105960267,0.0,0.0,1.8817407757805105,0.0
4.1712158808933,0.0,0.0,0.8642384105960267,0.0,0.0,1.822138126773888,0.0
4.193548387096774,0.0,0.0,0.8642384105960267,0.0,0.0,1.7753074739829704,0.0
4.215880893300248,0.0,0.0,0.8642384105960267,0.0,0.0,1.7284768211920525,0.0
4.238213399503723,0.0,0.0,0.8642384105960267,0.0,0.0,1.6901608325449382,0.0
4.260545905707196,0.0,0.0,0.8642384105960267,0.0,0.0,1.6518448438978237,0.0
4.28287841191067,0.0,0.0,0.8642384105960267,0.0,0.0,1.6220435193945126,0.0
4.305210918114144,0.0,0.0,0.8642384105960267,0.0,0.0,1.5922421948912013,0.0
4.327543424317618,0.0,0.0,0.8642384105960267,0.0,0.0,1.5581835383159885,0.0
4.349875930521092,0.0,0.0,0.860927152317881,0.0,0.0,1.5241248817407755,0.0
4.3722084367245655,0.0,0.0,0.8576158940397353,0.0,0.0,1.4943235572374642,0.0
4.39454094292804,0.0,0.0,0.8543046357615895,0.0,0.0,1.4602649006622517,0.0
4.416873449131513,0.0,0.0,0.8509933774834438,0.0,0.0,1.4347209082308419,0.0
4.439205955334987,0.0,0.0,0.8476821192052981,0.0,0.0,1.400662251655629,0.0
4.461538461538462,0.0,0.0,0.8443708609271525,0.0,0.0,1.3751182592242195,0.0
4.483870967741936,0.0,0.0,0.8410596026490068,0.0,0.0,1.34957426679281,0.0
4.506203473945409,0.0,0.0,0.8377483443708611,0.0,0.0,1.3240302743614,0.0
4.528535980148883,0.0,0.0,0.8344370860927154,0.0,0.0,1.3027436140018922,0.0
4.550868486352357,0.0,0.0,0.8344370860927154,0.0,0.0,1.2857142857142858,0.0
4.573200992555831,0.0,0.0,0.8344370860927154,0.0,0.0,1.2686849574266794,0.0
4.5955334987593055,0.0,0.0,0.8344370860927154,0.0,0.0,1.260170293282876,0.0
4.61786600496278,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.640198511166253,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.6625310173697265,0.0,0.0,0.8344370860927154,0.0,0.0,1.2516556291390728,0.0
4.684863523573201,0.0,0.0,0.8344370860927154,0.0,0.0,1.2559129612109743,0.0
4.707196029776675,0.0,0.0,0.8344370860927154,0.0,0.0,1.2601702932828758,0.0
4.729528535980149,0.0,0.0,0.8344370860927154,0.0,0.0,1.2644276253547775,0.0
