E_prompt,Li_He,geoneutrinos,world_reactors,bi_po,others,Total_background
5.65,4.367689149019861,0.0,0.7336835484008604,0.17952697657184338,0.24874847455028784,5.529648148542853
5.75,4.367689149019861,0.0,0.7336835484008604,0.16851305162878458,0.24874847455028784,5.518634223599794
5.8500000000000005,4.367689149019861,0.0,0.7336835484008604,0.1574991266857258,0.24874847455028784,5.507620298656735
5.95,4.367689149019861,0.0,0.7336835484008604,0.1464852017426671,0.2501189895615845,5.497976888724973
6.050000000000001,4.367689149019861,0.0,0.7670328006008876,0.1359194624899317,0.2273586509811272,5.4980000630918076
6.15,4.367689149019861,0.0,0.18739103617167877,0.13436988430530197,0.2261349768638976,4.915585046360739
6.25,4.367689149019861,0.0,0.0,0.13436988430530197,0.2261349768638976,4.7281940101890605
6.3500000000000005,4.367689149019861,0.0,0.0,0.13436988430530197,0.2261349768638976,4.7281940101890605
6.45,4.367689149019861,0.0,0.0,0.13436988430530197,0.2261349768638976,4.7281940101890605
6.550000000000001,4.367689149019861,0.0,0.0,0.14047760631917716,0.2203592350305781,4.728525990369616
6.65,4.367689149019861,0.0,0.0,0.03431958083988929,0.20249359291903457,4.604502322778784
6.75,4.367689149019861,0.0,0.0,0.0,0.20352147917750732,4.571210628197369
6.8500000000000005,4.256133452140154,0.0,0.0,0.0,0.20352147917750732,4.459654931317662
6.95,3.9110671016223115,0.0,0.0,0.0,0.20352147917750732,4.114588580799819
7.050000000000001,3.9573910774452647,0.0,0.0,0.0,0.20352147917750732,4.1609125566227725
7.15,3.5177860007582047,0.0,0.0,0.0,0.20352147917750732,3.721307479935712
7.25,3.4941513192158697,0.0,0.0,0.0,0.20489199418880408,3.699043313404674
7.3500000000000005,3.4941513192158697,0.0,0.0,0.0,0.18213165560834682,3.6762829748242165
7.45,3.4941513192158697,0.0,0.0,0.0,0.18090798149111706,3.675059300706987
7.550000000000001,3.4941513192158697,0.0,0.0,0.0,0.17513223965779798,3.669283558873668
7.65,3.4941513192158697,0.0,0.0,0.0,0.15726659754625394,3.6514179167621235
7.75,3.3627424898406306,0.0,0.0,0.0,0.15726659754625502,3.5200090873868857
7.8500000000000005,3.2511867929608513,0.0,0.0,0.0,0.1693564978244761,3.4205432907853273
7.95,2.8191448143673523,0.0,0.0,0.0,0.14595984870306053,2.965104663070413
8.05,3.083853247641213,0.0,0.0,0.0,0.1596649988160204,3.243518246457233
8.15,3.0085373957931383,0.0,0.0,0.0,0.15576555729578967,3.164302953088928
8.25,2.1687183783228106,0.0,0.0,0.0,0.11228433699692035,2.281002715319731
8.350000000000001,2.160209892967585,0.0,0.0,0.0,0.11184381431471835,2.272053707282303
8.45,1.6941339729530975,0.0,0.0,0.0,0.0877129607229632,1.7818469336760607
8.55,2.1602098929675457,0.0,0.0,0.0,0.11184381431471631,2.272053707282262
8.65,2.0656711667984218,0.0,0.0,0.0,0.11328774977304987,2.178958916571472
8.75,0.0,0.0,0.0,0.0,0.045006734031676626,0.045006734031676626
8.850000000000001,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
8.95,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
9.05,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
9.15,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
9.25,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
9.350000000000001,0.0,0.0,0.0,0.0,0.04522699537277541,0.04522699537277541
9.45,0.0,0.0,0.0,0.0,0.04277964713832125,0.04277964713832125
9.55,0.0,0.0,0.0,0.0,0.0,0.0
9.650000000000002,0.0,0.0,0.0,0.0,0.0,0.0
9.75,0.0,0.0,0.0,0.0,0.0,0.0
9.850000000000001,0.0,0.0,0.0,0.0,0.0,0.0
9.95,0.0,0.0,0.0,0.0,0.0,0.0
